ds,Low
2021-10-01,3324.5193008877986
2021-10-02,3362.723778959686
2021-10-03,3424.179846619209
2021-10-04,3462.713608210648
2021-10-05,3501.0491500790877
2021-10-06,3541.353798019784
2021-10-07,3561.3863241217896
2021-10-08,3596.411548713887
2021-10-09,3609.6331635890842
2021-10-10,3598.767587458761
2021-10-11,3600.460296740502
2021-10-12,3590.8338031354897
2021-10-13,3581.3127525876007
2021-10-14,3563.9086074459938
2021-10-15,3524.2190359727624
2021-10-16,3506.784781418055
2021-10-17,3514.770463084891
2021-10-18,3454.8665661214695
2021-10-19,3469.276976018726
2021-10-20,3448.7064267875867
2021-10-21,3441.71896992785
2021-10-22,3461.5006946685135
2021-10-23,3482.3313682677745
2021-10-24,3485.600371849636
2021-10-25,3520.7746441384324
2021-10-26,3554.542588195404
2021-10-27,3606.1516678927665
2021-10-28,3659.4474946353967
2021-10-29,3689.4160305611717
2021-10-30,3764.5807248154256
2021-10-31,3832.9608714174965
2021-11-01,3891.2816829490616
2021-11-02,3943.2075668693974
2021-11-03,4016.1408021790594
2021-11-04,4100.178765728161
2021-11-05,4143.880313094469
2021-11-06,4184.684143038992
2021-11-07,4245.998671406133
2021-11-08,4269.009428747819
2021-11-09,4312.798950431361
2021-11-10,4333.051980153548
2021-11-11,4372.3535691183715
2021-11-12,4354.772746198975
2021-11-13,4337.768204912165
2021-11-14,4344.566974199243
2021-11-15,4347.048307973123
2021-11-16,4324.353807300195
2021-11-17,4295.058382440021
2021-11-18,4258.477360806603
2021-11-19,4230.131224517028
2021-11-20,4193.01229730994
2021-11-21,4189.763399488219
2021-11-22,4192.676594772843
2021-11-23,4181.803609599024
2021-11-24,4189.026799059165
2021-11-25,4206.079511165082
2021-11-26,4249.356938538381
2021-11-27,4262.442509310448
2021-11-28,4297.451204367298
2021-11-29,4329.520098514575
2021-11-30,4381.120108066357
2021-12-01,4436.734573312501
2021-12-02,4489.141417744743
2021-12-03,4554.609721731564
2021-12-04,4606.18460412634
2021-12-05,4600.6861226132705
2021-12-06,4639.672500811575
2021-12-07,4651.177835394667
2021-12-08,4649.328625478451
2021-12-09,4666.858507400419
2021-12-10,4675.333850424532
2021-12-11,4641.038203563206
2021-12-12,4620.317308256859
2021-12-13,4590.609160097522
2021-12-14,4558.918812117114
2021-12-15,4511.310523852236
2021-12-16,4469.616971116003
